Market_Names,Date,NonComm_Long,NonComm_Short,Change_Long,Change_Short,Net_Position,Market_Type,Total,ReleaseDate
SP500,2024-05-14,271442,287961,6738.0,22760.0,-16519,Indices,559403,2024-05-17
AUD,2024-05-14,40059,117230,-9421.0,3234.0,-77171,Forex,157289,2024-05-17
NZD,2024-05-14,19284,30484,224.0,233.0,-11200,Forex,49768,2024-05-17
USD,2024-05-14,29682,27247,801.0,219.0,2435,Forex,56929,2024-05-17
USOil,2024-05-14,330395,127352,-30138.0,-17737.0,203043,Commodity,457747,2024-05-17
GBP,2024-05-14,48674,68749,-3103.0,-4841.0,-20075,Forex,117423,2024-05-17
BTC,2024-05-14,21078,21255,308.0,-298.0,-177,Crypto,42333,2024-05-17
CHF,2024-05-14,6646,47753,-2591.0,-3271.0,-41107,Forex,54399,2024-05-17
US30,2024-05-07,19305,10641,1422.0,-2044.0,8664,Indices,29946,2024-05-10
SP500,2024-05-07,264704,265202,-17825.0,33350.0,-498,Indices,529906,2024-05-10
USOil,2024-05-07,360533,145089,-32249.0,17768.0,215444,Commodity,505622,2024-05-10
BTC,2024-05-07,20770,21553,1201.0,1990.0,-783,Crypto,42323,2024-05-10
USD,2024-05-07,28881,27028,-4712.0,-6600.0,1853,Forex,55909,2024-05-10
EUR,2024-05-07,170594,166004,3409.0,-7958.0,4590,Forex,336598,2024-05-10
NAS100,2024-05-07,65234,60829,4922.0,3289.0,4405,Indices,126063,2024-05-10
CHF,2024-05-07,9237,51024,-1803.0,-1802.0,-41787,Forex,60261,2024-05-10
CAD,2024-05-07,32945,102166,-848.0,5172.0,-69221,Forex,135111,2024-05-10
GBP,2024-05-07,51777,73590,8109.0,932.0,-21813,Forex,125367,2024-05-10
NZD,2024-05-07,19060,30251,-2454.0,186.0,-11191,Forex,49311,2024-05-10
AUD,2024-05-07,49480,113996,8187.0,-10532.0,-64516,Forex,163476,2024-05-10
XAU,2024-05-07,272144,72577,-6706.0,-2063.0,199567,Commodity,344721,2024-05-10
US10,2024-05-07,455924,937544,4281.0,52936.0,-481620,Bonds,1393468,2024-05-10
JPY,2024-05-07,34990,169912,-5445.0,-38911.0,-134922,Forex,204902,2024-05-10
GBP,2024-04-30,43668,72658,-4791.0,-2034.0,-28990,Forex,116326,2024-05-03
AUD,2024-04-30,41293,124528,-2136.0,-15140.0,-83235,Forex,165821,2024-05-03
CHF,2024-04-30,11040,52826,1359.0,583.0,-41786,Forex,63866,2024-05-03
USD,2024-04-30,33593,33628,2246.0,2068.0,-35,Forex,67221,2024-05-03
EUR,2024-04-30,167185,173962,-111.0,-3323.0,-6777,Forex,341147,2024-05-03
USOil,2024-04-30,392782,127321,11304.0,10679.0,265461,Commodity,520103,2024-05-03
XAU,2024-04-30,278850,74640,-685.0,-2004.0,204210,Commodity,353490,2024-05-03
NZD,2024-04-30,21514,30065,3260.0,-236.0,-8551,Forex,51579,2024-05-03
NAS100,2024-04-30,60312,57540,-3119.0,234.0,2772,Indices,117852,2024-05-03
JPY,2024-04-30,40435,208823,-1991.0,-13522.0,-168388,Forex,249258,2024-05-03
US30,2024-04-30,17883,12685,-1383.0,271.0,5198,Indices,30568,2024-05-03
CAD,2024-04-30,33793,96994,-2080.0,-15329.0,-63201,Forex,130787,2024-05-03
US10,2024-04-30,451643,884608,-94724.0,-15679.0,-432965,Bonds,1336251,2024-05-03
BTC,2024-04-30,19569,19563,-2865.0,-2871.0,6,Crypto,39132,2024-05-03
SP500,2024-04-30,282529,231851,-47331.0,-21297.0,50678,Indices,514380,2024-05-03
NZD,2024-04-23,18254,30301,235.0,556.0,-12047,Forex,48555,2024-04-26
GBP,2024-04-23,48459,74692,-23341.0,11511.0,-26233,Forex,123151,2024-04-26
JPY,2024-04-23,42426,222345,-7037.0,7263.0,-179919,Forex,264771,2024-04-26
CHF,2024-04-23,9681,52243,-4969.0,1381.0,-42562,Forex,61924,2024-04-26
USOil,2024-04-23,381478,116642,-30509.0,-4883.0,264836,Commodity,498120,2024-04-26
USD,2024-04-23,31347,31560,1436.0,720.0,-213,Forex,62907,2024-04-26
AUD,2024-04-23,43429,139668,1064.0,-3780.0,-96239,Forex,183097,2024-04-26
EUR,2024-04-23,167296,177285,-11616.0,10597.0,-9989,Forex,344581,2024-04-26
XAU,2024-04-23,279535,76644,758.0,-210.0,202891,Commodity,356179,2024-04-26
BTC,2024-04-23,22434,22434,95.0,-268.0,0,Crypto,44868,2024-04-26
NAS100,2024-04-23,63431,57306,-2708.0,-304.0,6125,Indices,120737,2024-04-26
CAD,2024-04-23,35873,112323,-1194.0,-7559.0,-76450,Forex,148196,2024-04-26
US10,2024-04-23,546367,900287,12763.0,4644.0,-353920,Bonds,1446654,2024-04-26
US30,2024-04-23,19266,12414,-4439.0,2388.0,6852,Indices,31680,2024-04-26
SP500,2024-04-23,329860,253148,-29163.0,-23597.0,76712,Indices,583008,2024-04-26
USD,2024-04-16,29911,30840,3178.0,2965.0,-929,Forex,60751,2024-04-19
SP500,2024-04-16,359023,276745,72567.0,-61222.0,82278,Indices,635768,2024-04-19
GBP,2024-04-16,71800,63181,-8200.0,11433.0,8619,Forex,134981,2024-04-19
XAU,2024-04-16,278777,76854,-1022.0,-526.0,201923,Commodity,355631,2024-04-19
CHF,2024-04-16,14650,50862,-1976.0,2472.0,-36212,Forex,65512,2024-04-19
USOil,2024-04-16,411987,121525,8190.0,14865.0,290462,Commodity,533512,2024-04-19
JPY,2024-04-16,49463,215082,2188.0,5656.0,-165619,Forex,264545,2024-04-19
NZD,2024-04-16,18019,29745,4293.0,2472.0,-11726,Forex,47764,2024-04-19
AUD,2024-04-16,42365,143448,11809.0,20551.0,-101083,Forex,185813,2024-04-19
EUR,2024-04-16,178912,166688,3493.0,23992.0,12224,Forex,345600,2024-04-19
BTC,2024-04-16,22339,22702,-1233.0,-1023.0,-363,Crypto,45041,2024-04-19
CAD,2024-04-16,37067,119882,2326.0,31756.0,-82815,Forex,156949,2024-04-19
NAS100,2024-04-16,66139,57610,197.0,-789.0,8529,Indices,123749,2024-04-19
US10,2024-04-16,533604,895643,38694.0,-106152.0,-362039,Bonds,1429247,2024-04-19
US30,2024-04-16,23705,10026,-5154.0,-1872.0,13679,Indices,33731,2024-04-19
NZD,2024-04-09,13726,27273,-5999.0,20.0,-13547,Forex,40999,2024-04-12
US30,2024-04-09,28859,11898,-3247.0,-3613.0,16961,Indices,40757,2024-04-12
AUD,2024-04-09,30556,122897,-4001.0,-14345.0,-92341,Forex,153453,2024-04-12
SP500,2024-04-09,286456,337968,-5152.0,-22996.0,-51512,Indices,624424,2024-04-12
CAD,2024-04-09,34741,88126,-9479.0,-7317.0,-53385,Forex,122867,2024-04-12
US10,2024-04-09,494910,1001795,49899.0,-13173.0,-506885,Bonds,1496705,2024-04-12
USD,2024-04-09,26733,27875,3052.0,2298.0,-1142,Forex,54608,2024-04-12
NAS100,2024-04-09,65942,58399,543.0,-12195.0,7543,Indices,124341,2024-04-12
BTC,2024-04-09,23572,23725,-739.0,-426.0,-153,Crypto,47297,2024-04-12
GBP,2024-04-09,80000,51748,-18352.0,-3190.0,28252,Forex,131748,2024-04-12
EUR,2024-04-09,175419,142696,-12839.0,-28768.0,32723,Forex,318115,2024-04-12
JPY,2024-04-09,47275,209426,-7915.0,11006.0,-162151,Forex,256701,2024-04-12
CHF,2024-04-09,16626,48390,-4594.0,4800.0,-31764,Forex,65016,2024-04-12
USOil,2024-04-09,403797,106660,11469.0,15229.0,297137,Commodity,510457,2024-04-12
XAU,2024-04-09,279799,77380,-1600.0,3231.0,202419,Commodity,357179,2024-04-12
US30,2024-04-02,32106,15511,-130.0,3287.0,16595,Indices,47617,2024-04-05
NAS100,2024-04-02,65399,70594,1290.0,-631.0,-5195,Indices,135993,2024-04-05
US10,2024-04-02,445011,1014968,31985.0,23635.0,-569957,Bonds,1459979,2024-04-05
CAD,2024-04-02,44220,95443,6305.0,7238.0,-51223,Forex,139663,2024-04-05
AUD,2024-04-02,34557,137242,119.0,-2648.0,-102685,Forex,171799,2024-04-05
BTC,2024-04-02,24311,24151,-906.0,-2141.0,160,Crypto,48462,2024-04-05
USD,2024-04-02,23681,25577,4467.0,5734.0,-1896,Forex,49258,2024-04-05
USOil,2024-04-02,392328,91431,15425.0,-7445.0,300897,Commodity,483759,2024-04-05
CHF,2024-04-02,21220,43590,4897.0,5299.0,-22370,Forex,64810,2024-04-05
JPY,2024-04-02,55190,198420,-4779.0,9345.0,-143230,Forex,253610,2024-04-05
SP500,2024-04-02,291608,360964,-5327.0,-99228.0,-69356,Indices,652572,2024-04-05
NZD,2024-04-02,19725,27253,5045.0,6549.0,-7528,Forex,46978,2024-04-05
GBP,2024-04-02,98352,54938,7091.0,-1153.0,43414,Forex,153290,2024-04-05
XAU,2024-04-02,281399,74149,15752.0,7796.0,207250,Commodity,355548,2024-04-05
EUR,2024-04-02,188258,171464,8065.0,22465.0,16794,Forex,359722,2024-04-05
BTC,2024-03-26,25217,26292,534.0,-487.0,-1075,Crypto,51509,2024-03-29
USOil,2024-03-26,376903,98876,10887.0,10617.0,278027,Commodity,475779,2024-03-29
XAU,2024-03-26,265647,66353,-13085.0,-10777.0,199294,Commodity,332000,2024-03-29
EUR,2024-03-26,180193,148999,-2189.0,14959.0,31194,Forex,329192,2024-03-29
US30,2024-03-26,32236,12224,-3452.0,-1019.0,20012,Indices,44460,2024-03-29
CAD,2024-03-26,37915,88205,-7846.0,5296.0,-50290,Forex,126120,2024-03-29
SP500,2024-03-26,296934,460192,37513.0,13265.0,-163258,Indices,757126,2024-03-29
GBP,2024-03-26,91261,56091,-11344.0,6686.0,35170,Forex,147352,2024-03-29
NAS100,2024-03-26,64109,71225,-4108.0,14168.0,-7116,Indices,135334,2024-03-29
US10,2024-03-26,413026,991333,-48040.0,-43743.0,-578307,Bonds,1404359,2024-03-29
USD,2024-03-26,19214,19843,3641.0,4949.0,-629,Forex,39057,2024-03-29
NZD,2024-03-26,14680,20704,-4384.0,1451.0,-6024,Forex,35384,2024-03-29
CHF,2024-03-26,16323,38291,3320.0,4788.0,-21968,Forex,54614,2024-03-29
JPY,2024-03-26,59969,189075,-6305.0,6789.0,-129106,Forex,249044,2024-03-29
AUD,2024-03-26,34438,139890,-3769.0,-5855.0,-105452,Forex,174328,2024-03-29
SP500,2024-03-19,259421,446927,-21361.0,-61695.0,-187506,Indices,706348,2024-03-22
NZD,2024-03-19,19064,19253,2673.0,5327.0,-189,Forex,38317,2024-03-22
GBP,2024-03-19,102605,49405,-20680.0,-3429.0,53200,Forex,152010,2024-03-22
USD,2024-03-19,15573,14894,-1974.0,3533.0,679,Forex,30467,2024-03-22
NAS100,2024-03-19,68217,57057,-19284.0,-29049.0,11160,Indices,125274,2024-03-22
BTC,2024-03-19,24683,26779,-294.0,808.0,-2096,Crypto,51462,2024-03-22
CAD,2024-03-19,45761,82909,9797.0,16071.0,-37148,Forex,128670,2024-03-22
EUR,2024-03-19,182382,134040,-11616.0,14449.0,48342,Forex,316422,2024-03-22
US10,2024-03-19,461066,1035076,3227.0,-26309.0,-574010,Bonds,1496142,2024-03-22
XAU,2024-03-19,278732,77130,-4330.0,-4330.0,201602,Commodity,355862,2024-03-22
USOil,2024-03-19,366016,88259,36698.0,-7271.0,277757,Commodity,454275,2024-03-22
AUD,2024-03-19,38207,145745,-3384.0,13314.0,-107538,Forex,183952,2024-03-22
CHF,2024-03-19,13003,33503,1767.0,4397.0,-20500,Forex,46506,2024-03-22
US30,2024-03-19,35688,13243,5437.0,-1337.0,22445,Indices,48931,2024-03-22
JPY,2024-03-19,66274,182286,11351.0,25041.0,-116012,Forex,248560,2024-03-22
USOil,2024-03-12,329318,95530,-12843.0,-8119.0,233788,Commodity,424848,2024-03-15
AUD,2024-03-12,41591,132431,-12375.0,-6278.0,-90840,Forex,174022,2024-03-15
CAD,2024-03-12,35964,66838,-6626.0,4411.0,-30874,Forex,102802,2024-03-15
USD,2024-03-12,17547,11361,-219.0,-3306.0,6186,Forex,28908,2024-03-15
JPY,2024-03-12,54923,157245,252.0,-16269.0,-102322,Forex,212168,2024-03-15
GBP,2024-03-12,123285,52834,21006.0,8940.0,70451,Forex,176119,2024-03-15
NAS100,2024-03-12,87501,86106,5256.0,4496.0,1395,Indices,173607,2024-03-15
BTC,2024-03-12,24977,25971,2621.0,2263.0,-994,Crypto,50948,2024-03-15
XAU,2024-03-12,283062,81460,18914.0,8605.0,201602,Commodity,364522,2024-03-15
CHF,2024-03-12,11236,29106,-5699.0,-5380.0,-17870,Forex,40342,2024-03-15
US10,2024-03-12,457839,1061385,45581.0,-64131.0,-603546,Bonds,1519224,2024-03-15
SP500,2024-03-12,280782,508622,-3543.0,25328.0,-227840,Indices,789404,2024-03-15
NZD,2024-03-12,16391,13926,-5508.0,-745.0,2465,Forex,30317,2024-03-15
EUR,2024-03-12,193998,119591,-6027.0,-14123.0,74407,Forex,313589,2024-03-15
US30,2024-03-12,30251,14580,808.0,-277.0,15671,Indices,44831,2024-03-15
EUR,2024-03-05,200025,133714,-5209.0,-8666.0,66311,Forex,333739,2024-03-08
NZD,2024-03-05,21899,14671,-2043.0,786.0,7228,Forex,36570,2024-03-08
GBP,2024-03-05,102279,43894,10309.0,-1718.0,58385,Forex,146173,2024-03-08
BTC,2024-03-05,22356,23708,2322.0,1707.0,-1352,Crypto,46064,2024-03-08
XAU,2024-03-05,264148,72855,49200.0,-457.0,191293,Commodity,337003,2024-03-08
USD,2024-03-05,17766,14667,-1061.0,-2077.0,3099,Forex,32433,2024-03-08
NAS100,2024-03-05,82245,81610,-8422.0,1189.0,635,Indices,163855,2024-03-08
US10,2024-03-05,412258,1125516,-62271.0,-14595.0,-713258,Bonds,1537774,2024-03-08
CHF,2024-03-05,16935,34486,1078.0,6648.0,-17551,Forex,51421,2024-03-08
USOil,2024-03-05,342161,103649,-11835.0,-25557.0,238512,Commodity,445810,2024-03-08
SP500,2024-03-05,284325,483294,-11997.0,-32900.0,-198969,Indices,767619,2024-03-08
AUD,2024-03-05,53966,138709,4326.0,9893.0,-84743,Forex,192675,2024-03-08
US30,2024-03-05,29443,14857,-3336.0,266.0,14586,Indices,44300,2024-03-08
CAD,2024-03-05,42590,62427,1432.0,19891.0,-19837,Forex,105017,2024-03-08
JPY,2024-03-05,54671,173514,3410.0,-10452.0,-118843,Forex,228185,2024-03-08
NZD,2024-02-27,23942,13885,4184.0,753.0,10057,Forex,37827,2024-03-01
USD,2024-02-27,18827,16744,95.0,-442.0,2083,Forex,35571,2024-03-01
US10,2024-02-27,474529,1140111,-2483.0,-65967.0,-665582,Bonds,1614640,2024-03-01
USOil,2024-02-27,353996,129206,30448.0,-2441.0,224790,Commodity,483202,2024-03-01
US30,2024-02-27,32779,14591,486.0,-974.0,18188,Indices,47370,2024-03-01
AUD,2024-02-27,49640,128816,540.0,-2159.0,-79176,Forex,178456,2024-03-01
XAU,2024-02-27,214948,73312,3914.0,2540.0,141636,Commodity,288260,2024-03-01
BTC,2024-02-27,20034,22001,410.0,279.0,-1967,Crypto,42035,2024-03-01
GBP,2024-02-27,91970,45612,4368.0,4322.0,46358,Forex,137582,2024-03-01
NAS100,2024-02-27,90667,80421,-1778.0,13537.0,10246,Indices,171088,2024-03-01
JPY,2024-02-27,51261,183966,-2601.0,9326.0,-132705,Forex,235227,2024-03-01
SP500,2024-02-27,296322,516194,24028.0,28212.0,-219872,Indices,812516,2024-03-01
CAD,2024-02-27,41158,42536,4050.0,4565.0,-1378,Forex,83694,2024-03-01
EUR,2024-02-27,205234,142380,-7960.0,-2798.0,62854,Forex,347614,2024-03-01
CHF,2024-02-27,15857,27838,2821.0,4879.0,-11981,Forex,43695,2024-03-01
CAD,2024-02-20,37108,37971,1410.0,-3209.0,-863,Forex,75079,2024-02-23
USD,2024-02-20,18732,17186,-2364.0,-1908.0,1546,Forex,35918,2024-02-23
BTC,2024-02-20,19624,21722,477.0,654.0,-2098,Crypto,41346,2024-02-23
SP500,2024-02-20,272294,487983,-20516.0,-18038.0,-215689,Indices,760277,2024-02-23
AUD,2024-02-20,49100,130975,1695.0,4594.0,-81875,Forex,180075,2024-02-23
GBP,2024-02-20,87602,41290,-2943.0,1217.0,46312,Forex,128892,2024-02-23
NAS100,2024-02-20,92445,66884,-4847.0,1668.0,25561,Indices,159329,2024-02-23
JPY,2024-02-20,53862,174640,-4692.0,4550.0,-120778,Forex,228502,2024-02-23
XAU,2024-02-20,211034,70772,-6471.0,-15565.0,140262,Commodity,281806,2024-02-23
NZD,2024-02-20,19758,13132,126.0,-3093.0,6626,Forex,32890,2024-02-23
EUR,2024-02-20,213194,145178,2346.0,-12832.0,68016,Forex,358372,2024-02-23
USOil,2024-02-20,323548,131647,15474.0,-5355.0,191901,Commodity,455195,2024-02-23
CHF,2024-02-20,13036,22959,347.0,4256.0,-9923,Forex,35995,2024-02-23
US10,2024-02-20,477012,1206078,-12593.0,-44046.0,-729066,Bonds,1683090,2024-02-23
US30,2024-02-20,32293,15565,-372.0,3269.0,16728,Indices,47858,2024-02-23
EUR,2024-02-13,210848,158010,8398.0,17713.0,52838,Forex,368858,2024-02-16
GBP,2024-02-13,90545,40073,6609.0,-9388.0,50472,Forex,130618,2024-02-16
US10,2024-02-13,489605,1250124,21937.0,-46006.0,-760519,Bonds,1739729,2024-02-16
CHF,2024-02-13,12689,18703,2098.0,2545.0,-6014,Forex,31392,2024-02-16
AUD,2024-02-13,47405,126381,8163.0,15326.0,-78976,Forex,173786,2024-02-16
CAD,2024-02-13,35698,41180,2916.0,662.0,-5482,Forex,76878,2024-02-16
JPY,2024-02-13,58554,170090,2908.0,30214.0,-111536,Forex,228644,2024-02-16
NAS100,2024-02-13,97292,65216,3548.0,4360.0,32076,Indices,162508,2024-02-16
SP500,2024-02-13,292810,506021,14699.0,-3952.0,-213211,Indices,798831,2024-02-16
USOil,2024-02-13,308074,137002,4300.0,-4934.0,171072,Commodity,445076,2024-02-16
US30,2024-02-13,32665,12296,-609.0,7.0,20369,Indices,44961,2024-02-16
BTC,2024-02-13,19147,21068,2867.0,3265.0,-1921,Crypto,40215,2024-02-16
XAU,2024-02-13,217505,86337,-11118.0,19452.0,131168,Commodity,303842,2024-02-16
USD,2024-02-13,21096,19094,2622.0,2159.0,2002,Forex,40190,2024-02-16
NZD,2024-02-13,19632,16225,3504.0,927.0,3407,Forex,35857,2024-02-16
GBP,2024-02-06,83936,49461,6437.0,6115.0,34475,Forex,133397,2024-02-09
USD,2024-02-06,18474,16935,1236.0,69.0,1539,Forex,35409,2024-02-09
BTC,2024-02-06,16280,17803,-239.0,-514.0,-1523,Crypto,34083,2024-02-09
JPY,2024-02-06,55646,139876,10728.0,14503.0,-84230,Forex,195522,2024-02-09
CAD,2024-02-06,32782,40518,-6319.0,-971.0,-7736,Forex,73300,2024-02-09
NZD,2024-02-06,16128,15298,2014.0,144.0,830,Forex,31426,2024-02-09
USOil,2024-02-06,303774,141936,-31589.0,3237.0,161838,Commodity,445710,2024-02-09
US30,2024-02-06,33274,12289,-6051.0,-2626.0,20985,Indices,45563,2024-02-09
AUD,2024-02-06,39242,111055,2286.0,15804.0,-71813,Forex,150297,2024-02-09
US10,2024-02-06,467668,1296130,-9193.0,-39746.0,-828462,Bonds,1763798,2024-02-09
CHF,2024-02-06,10591,16158,454.0,2117.0,-5567,Forex,26749,2024-02-09
EUR,2024-02-06,202450,140297,2090.0,28708.0,62153,Forex,342747,2024-02-09
NAS100,2024-02-06,93744,60856,-573.0,5790.0,32888,Indices,154600,2024-02-09
SP500,2024-02-06,278111,509973,-7599.0,233.0,-231862,Indices,788084,2024-02-09
XAU,2024-02-06,228623,66885,9401.0,-4546.0,161738,Commodity,295508,2024-02-09
NZD,2024-01-30,14114,15154,331.0,-372.0,-1040,Forex,29268,2024-02-02
XAU,2024-01-30,219222,71431,-21878.0,-195.0,147791,Commodity,290653,2024-02-02
US10,2024-01-30,476861,1335876,-3362.0,70975.0,-859015,Bonds,1812737,2024-02-02
GBP,2024-01-30,77499,43346,4900.0,2184.0,34153,Forex,120845,2024-02-02
AUD,2024-01-30,36956,95251,-5897.0,-1722.0,-58295,Forex,132207,2024-02-02
CHF,2024-01-30,10137,14041,88.0,-1179.0,-3904,Forex,24178,2024-02-02
NAS100,2024-01-30,94317,55066,5773.0,-436.0,39251,Indices,149383,2024-02-02
SP500,2024-01-30,285710,509741,4187.0,42318.0,-224031,Indices,795451,2024-02-02
JPY,2024-01-30,44918,125373,-7667.0,2143.0,-80455,Forex,170291,2024-02-02
US30,2024-01-30,39325,14915,6064.0,-98.0,24410,Indices,54240,2024-02-02
EUR,2024-01-30,200360,111589,5170.0,4723.0,88771,Forex,311949,2024-02-02
USOil,2024-01-30,335363,138699,4444.0,-8202.0,196664,Commodity,474062,2024-02-02
CAD,2024-01-30,39101,41489,4791.0,-1272.0,-2388,Forex,80590,2024-02-02
USD,2024-01-30,17238,16866,712.0,1987.0,372,Forex,34104,2024-02-02
BTC,2024-01-30,16519,18317,289.0,426.0,-1798,Crypto,34836,2024-02-02
US30,2024-01-23,33261,15013,553.0,-308.0,18248,Indices,48274,2024-01-26
AUD,2024-01-23,42853,96973,-2959.0,3304.0,-54120,Forex,139826,2024-01-26
GBP,2024-01-23,72599,41162,6369.0,5863.0,31437,Forex,113761,2024-01-26
US10,2024-01-23,480223,1264901,58691.0,-46016.0,-784678,Bonds,1745124,2024-01-26
NAS100,2024-01-23,88544,55502,4852.0,8381.0,33042,Indices,144046,2024-01-26
USOil,2024-01-23,330919,146901,-5822.0,-27806.0,184018,Commodity,477820,2024-01-26
BTC,2024-01-23,16230,17891,-1347.0,-680.0,-1661,Crypto,34121,2024-01-26
SP500,2024-01-23,281523,467423,18776.0,40254.0,-185900,Indices,748946,2024-01-26
EUR,2024-01-23,195190,106866,-9104.0,6664.0,88324,Forex,302056,2024-01-26
USD,2024-01-23,16526,14879,1449.0,1102.0,1647,Forex,31405,2024-01-26
XAU,2024-01-23,241100,71626,-21260.0,-10841.0,169474,Commodity,312726,2024-01-26
CHF,2024-01-23,10049,15220,-578.0,855.0,-5171,Forex,25269,2024-01-26
NZD,2024-01-23,13783,15526,-809.0,-1948.0,-1743,Forex,29309,2024-01-26
CAD,2024-01-23,34310,42761,-4428.0,-9365.0,-8451,Forex,77071,2024-01-26
JPY,2024-01-23,52585,123230,8405.0,22490.0,-70645,Forex,175815,2024-01-26
US10,2024-01-16,421532,1310917,-48432.0,53933.0,-889385,Bonds,1732449,2024-01-19
JPY,2024-01-16,44180,100740,2816.0,3427.0,-56560,Forex,144920,2024-01-19
SP500,2024-01-16,262747,427168,-15071.0,37044.0,-164421,Indices,689915,2024-01-19
BTC,2024-01-16,17577,18571,-3077.0,-3701.0,-994,Crypto,36148,2024-01-19
US30,2024-01-16,32708,15321,-4279.0,2413.0,17387,Indices,48029,2024-01-19
CAD,2024-01-16,38738,52126,-3548.0,2460.0,-13388,Forex,90864,2024-01-19
AUD,2024-01-16,45812,93669,-1514.0,14069.0,-47857,Forex,139481,2024-01-19
USOil,2024-01-16,336741,174707,6433.0,14081.0,162034,Commodity,511448,2024-01-19
XAU,2024-01-16,262360,82467,-9305.0,-584.0,179893,Commodity,344827,2024-01-19
NAS100,2024-01-16,83692,47121,671.0,876.0,36571,Indices,130813,2024-01-19
NZD,2024-01-16,14592,17474,-1629.0,-514.0,-2882,Forex,32066,2024-01-19
USD,2024-01-16,15077,13777,-964.0,646.0,1300,Forex,28854,2024-01-19
GBP,2024-01-16,66230,35299,5546.0,-4651.0,30931,Forex,101529,2024-01-19
CHF,2024-01-16,10627,14365,-417.0,-1071.0,-3738,Forex,24992,2024-01-19
EUR,2024-01-16,204294,100202,-4179.0,10606.0,104092,Forex,304496,2024-01-19
BTC,2024-01-09,20654,22272,2359.0,1756.0,-1618,Crypto,42926,2024-01-12
GBP,2024-01-09,60684,39950,-1110.0,-6639.0,20734,Forex,100634,2024-01-12
SP500,2024-01-09,277818,390124,20970.0,-79779.0,-112306,Indices,667942,2024-01-12
EUR,2024-01-09,208473,89596,-3439.0,-2840.0,118877,Forex,298069,2024-01-12
CAD,2024-01-09,42286,49666,-8609.0,-22360.0,-7380,Forex,91952,2024-01-12
US30,2024-01-09,36987,12908,2678.0,-1859.0,24079,Indices,49895,2024-01-12
USOil,2024-01-09,330308,160626,-10806.0,-16759.0,169682,Commodity,490934,2024-01-12
USD,2024-01-09,16041,13131,100.0,-387.0,2910,Forex,29172,2024-01-12
JPY,2024-01-09,41364,97313,7779.0,6533.0,-55949,Forex,138677,2024-01-12
AUD,2024-01-09,47326,79600,2884.0,-7735.0,-32274,Forex,126926,2024-01-12
CHF,2024-01-09,11044,15436,310.0,-513.0,-4392,Forex,26480,2024-01-12
NAS100,2024-01-09,83021,46245,2673.0,4964.0,36776,Indices,129266,2024-01-12
US10,2024-01-09,469964,1256984,74654.0,29011.0,-787020,Bonds,1726948,2024-01-12
XAU,2024-01-09,271665,83051,-19041.0,-6.0,188614,Commodity,354716,2024-01-12
NZD,2024-01-09,16221,17988,-1822.0,-601.0,-1767,Forex,34209,2024-01-12
GBP,2024-01-02,61794,46589,3044.0,1931.0,15205,Forex,108383,2024-01-05
XAU,2024-01-02,290706,83057,863.0,932.0,207649,Commodity,373763,2024-01-05
AUD,2024-01-02,44442,87335,5431.0,-2979.0,-42893,Forex,131777,2024-01-05
CAD,2024-01-02,50895,72026,9210.0,-4380.0,-21131,Forex,122921,2024-01-05
US30,2024-01-02,34309,14767,5840.0,-2549.0,19542,Indices,49076,2024-01-05
NAS100,2024-01-02,80348,41281,588.0,-10488.0,39067,Indices,121629,2024-01-05
USOil,2024-01-02,341114,177385,275.0,35830.0,163729,Commodity,518499,2024-01-05
BTC,2024-01-02,18295,20516,2021.0,1940.0,-2221,Crypto,38811,2024-01-05
EUR,2024-01-02,211912,92436,717.0,-1368.0,119476,Forex,304348,2024-01-05
JPY,2024-01-02,33585,90780,-3736.0,-2109.0,-57195,Forex,124365,2024-01-05
USD,2024-01-02,15941,13518,894.0,1608.0,2423,Forex,29459,2024-01-05
SP500,2024-01-02,256848,469903,6584.0,25912.0,-213055,Indices,726751,2024-01-05
NZD,2024-01-02,18043,18589,3461.0,340.0,-546,Forex,36632,2024-01-05
CHF,2024-01-02,10734,15949,2312.0,4082.0,-5215,Forex,26683,2024-01-05
US10,2024-01-02,395310,1227973,-35253.0,-7574.0,-832663,Bonds,1623283,2024-01-05
CAD,2023-12-26,41685,76406,12823.0,-6789.0,-34721,Forex,118091,2023-12-29
NAS100,2023-12-26,79760,51769,8293.0,2486.0,27991,Indices,131529,2023-12-29
XAU,2023-12-26,289843,82125,8871.0,2492.0,207718,Commodity,371968,2023-12-29
SP500,2023-12-26,250264,443991,2480.0,206.0,-193727,Indices,694255,2023-12-29
BTC,2023-12-26,16274,18576,-243.0,-292.0,-2302,Crypto,34850,2023-12-29
CHF,2023-12-26,8422,11867,1699.0,-944.0,-3445,Forex,20289,2023-12-29
US30,2023-12-26,28469,17316,-1414.0,-5444.0,11153,Indices,45785,2023-12-29
AUD,2023-12-26,39011,90314,3734.0,4360.0,-51303,Forex,129325,2023-12-29
NZD,2023-12-26,14582,18249,20.0,295.0,-3667,Forex,32831,2023-12-29
GBP,2023-12-26,58750,44658,-10060.0,-4226.0,14092,Forex,103408,2023-12-29
EUR,2023-12-26,211195,93804,3117.0,318.0,117391,Forex,304999,2023-12-29
JPY,2023-12-26,37321,92889,5587.0,-3747.0,-55568,Forex,130210,2023-12-29
USD,2023-12-26,15047,11910,-805.0,0.0,3137,Forex,26957,2023-12-29
USOil,2023-12-26,340839,141555,6104.0,-10437.0,199284,Commodity,482394,2023-12-29
